Ref,Val,Package,PosX,PosY,Rot,Side
"0.1uF_1","C","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",43.000000,-35.000000,-90.000000,bottom
"0.1uF_2","C","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",69.830000,-35.000000,-90.000000,bottom
"0.1uF_3","C","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",101.000000,-35.000000,-90.000000,bottom
"0.1uF_4","C","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",135.000000,-35.000000,-90.000000,bottom
"0.1uF_5","C","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",119.000000,-34.962500,-90.000000,bottom
"0.1uF_6","C","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",182.210000,-34.560000,-90.000000,bottom
"0.1uF_7","C","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",209.000000,-35.000000,-90.000000,bottom
"5V","5V","TestPoint_Pad_3.0x3.0mm",22.110000,-32.150000,0.000000,top
"D1","WS2812B","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",33.830000,-35.160000,-90.000000,top
"D2","WS2812B","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",53.000000,-35.000000,-90.000000,top
"D3","WS2812B","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",69.830000,-35.000000,-90.000000,top
"D4","WS2812B","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",94.000000,-35.000000,-90.000000,top
"D5","WS2812B","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",111.000000,-35.000000,-90.000000,top
"D6","WS2812B","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",127.000000,-35.000000,-90.000000,top
"D10","WS2812B","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",143.000000,-35.000000,-90.000000,top
"D11","WS2812B","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",160.210000,-35.190000,-90.000000,top
"D12","WS2812B","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",182.210000,-34.560000,-90.000000,top
"D13","WS2812B","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",199.638705,-34.992803,-90.000000,top
"D14","WS2812B","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",218.040000,-35.070000,-90.000000,top
"DIN","DIN","TestPoint_Pad_3.0x3.0mm",26.130000,-34.970000,0.000000,top
"DOUT","DOUT","TestPoint_Pad_3.0x3.0mm",225.890000,-35.070000,0.000000,top
"GND","GND","TestPoint_Pad_3.0x3.0mm",22.090000,-38.000000,0.000000,top
"VDD","VDD","TestPoint_Pad_3.0x3.0mm",229.900000,-32.170000,0.000000,top
"VSS","VSS","TestPoint_Pad_3.0x3.0mm",229.910000,-38.000000,0.000000,top
