Ref,Val,Package,PosX,PosY,Rot,Side
"0.1uF_1","C","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",80.000000,-35.000000,-90.000000,bottom
"0.1uF_2","C","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",102.500000,-35.000000,-90.000000,bottom
"0.1uF_3","C","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",125.000000,-35.000000,-90.000000,bottom
"5V","TestPoint_Square","TestPoint_Pad_3.0x3.0mm",162.500000,-32.500000,0.000000,top
"D1","WS2812B","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",52.500000,-35.000000,-90.000000,top
"D2","WS2812B","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",80.000000,-35.000000,-90.000000,top
"D3","WS2812B","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",94.000000,-35.000000,-90.000000,top
"D4","WS2812B","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",111.000000,-35.000000,-90.000000,top
"D5","WS2812B","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",125.000000,-35.000000,-90.000000,top
"D6","WS2812B","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",152.500000,-35.000000,-90.000000,top
"DOUT","TestPoint_Square","TestPoint_Pad_3.0x3.0mm",158.500000,-35.000000,0.000000,top
"GND","TestPoint_Square","TestPoint_Pad_3.0x3.0mm",162.500000,-37.500000,0.000000,top
"TP1","TestPoint_Square","TestPoint_Pad_3.0x3.0mm",42.500000,-32.500000,0.000000,top
"TP2","TestPoint_Square","TestPoint_Pad_3.0x3.0mm",46.500000,-35.000000,0.000000,top
"TP3","TestPoint_Square","TestPoint_Pad_3.0x3.0mm",42.500000,-37.500000,0.000000,top
