Ref,Val,Package,PosX,PosY,Rot,Side
"J2","Conn_01x04","PinHeader_1x04_P2.54mm_Vertical",17.190000,-15.000000,-90.000000,bottom
"J3","USB4220-03-1040-C_REVA","GCT_USB4220-03-1040-C_REVA",40.077803,-36.733411,-90.000000,bottom
"U2","ESP32-S3-WROOM-1","ESP32-S3-WROOM-1",22.000000,-25.000000,180.000000,bottom
"1KOHM_1","R","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",16.500000,-41.000000,90.000000,top
"1KOHM_2","R","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",16.500000,-37.000000,90.000000,top
"1uF_1","C","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",23.000000,-43.000000,0.000000,top
"1uF_2","C","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",21.000000,-33.000000,90.000000,top
"5.1kohm_1","R","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",33.500000,-34.500000,90.000000,top
"5.1kohm_2","R","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",34.450000,-30.690000,180.000000,top
"5V1","TestPoint_Square","TestPoint_Pad_3.0x3.0mm",20.000000,-19.000000,90.000000,top
"10Kohm_1","R","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",34.000000,-21.000000,90.000000,top
"10Kohm_2","R","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",28.500000,-24.000000,-90.000000,top
"10Kohm_3","R","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",27.500000,-27.000000,180.000000,top
"10Kohm_4","R","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",39.500000,-27.500000,0.000000,top
"10Kohm_5","R","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",40.500000,-43.000000,180.000000,top
"74AHCT1G125","74AHCT1G125","SOT-23-5_HandSoldering",31.650000,-14.050000,180.000000,top
"330ohm_1","R","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",16.000000,-26.000000,0.000000,top
"AP2112_1","AP2112K-3.3","SOT-23-5",21.500000,-39.000000,90.000000,top
"AP2112_2","AP2112K-3.3","SOT-23-5",17.500000,-32.000000,90.000000,top
"B+1","TestPoint_Square","TestPoint_Pad_3.0x3.0mm",26.000000,-37.000000,0.000000,top
"B-1","TestPoint_Square","TestPoint_Pad_3.0x3.0mm",30.000000,-37.000000,0.000000,top
"DIN1","TestPoint_Square","TestPoint_Pad_3.0x3.0mm",16.000000,-21.000000,90.000000,top
"GND1","TestPoint_Square","TestPoint_Pad_3.0x3.0mm",20.000000,-23.000000,90.000000,top
"NMOSS1","Q_NMOS_GSD","SOT-23",25.500000,-24.000000,90.000000,top
"NMOSS2","Q_NMOS_GSD","SOT-23",39.500000,-23.500000,90.000000,top
"PMOSS1","Q_PMOS_GSD","SOT-23",26.500000,-20.000000,90.000000,top
"PMOSS2","Q_PMOS_GSD","SOT-23",34.500000,-25.500000,90.000000,top
"TP4057","TP4057","TSOT-23-6",30.000000,-42.000000,0.000000,top
